digit1,acc1X,acc1Y,acc1Z,gyro1X,gyro1Y,gyro1Z,rot1X,rot1Y,rot1Z,mag1X,mag1Y,mag1Z,digit2,acc2X,acc2Y,acc2Z,gyro2X,gyro2Y,gyro2Z,rot2X,rot2Y,rot2Z,mag2X,mag2Y,mag2Z,digit3,acc3X,acc3Y,acc3Z,gyro3X,gyro3Y,gyro3Z,rot3X,rot3Y,rot3Z,mag3X,mag3Y,mag3Z,digit4,acc4X,acc4Y,acc4Z,gyro4X,gyro4Y,gyro4Z,rot4X,rot4Y,rot4Z,mag4X,mag4Y,mag4Z,fullSequence
6,2.105684,5.971887,7.411768,0.061239194,-0.08781181,0.04214967,0.31565943,0.113672264,0.56471276,12.431251,17.8125,8.0625,7,1.5888343,5.8103714,7.517052,-0.05421425,0.20479241,-0.02932151,0.31565943,0.113672264,0.56471276,11.925,17.5125,8.25,0,1.3938192,5.5908303,7.789236,-0.018325943,-0.014508039,0.0074830935,0.3040001,0.12625141,0.57645273,11.4375,16.9125,7.7250004,2,1.963311,5.892924,7.733603,0.017562363,0.008704823,0.013133593,0.307476,0.12432853,0.5750378,11.475,16.800001,7.65,6702
3,2.5758736,6.2721863,7.023533,0.04444041,-0.07147118,0.0019853106,0.32870555,0.11100958,0.55264217,12.468751,17.25,8.45625,8,1.8586249,5.9228344,7.295118,-0.056352276,0.11759147,0.00320704,0.31259513,0.12015027,0.56522065,10.25625,15.975,8.8125,4,1.4578272,5.8971114,7.366903,-0.0025961753,-0.04535671,-0.0,0.29854053,0.13355772,0.58368593,9.6,15.58125,8.0625,9,1.9986051,6.0664034,9.285947,0.09392046,-0.11285727,0.022143848,0.305425,0.13284242,0.5836226,10.59375,16.06875,7.74375,3849
5,2.0147567,6.1363935,6.643672,0.13500112,-0.28115052,0.0070249448,0.31157982,0.12428998,0.56385267,13.500001,17.400002,7.2937503,9,2.2839491,6.239285,6.806384,0.08384119,-0.03970621,0.03252855,0.32430765,0.11741103,0.5588915,12.95625,17.081251,7.0687504,7,1.4482559,6.1268225,7.007381,0.015424335,-0.014966187,0.0050396346,0.32218835,0.13749135,0.570878,12.31875,18.018751,2.68125,4,1.5906289,6.2344995,6.930811,0.010690134,-0.017104214,0.034819294,0.32224515,0.13788557,0.56991625,12.69375,18.13125,2.7562501,5974
8,1.5571294,6.0430737,7.422536,0.056199558,-0.101708986,0.047189303,0.3037446,0.13049357,0.5490652,13.650001,17.4375,2.6437502,3,2.6739793,6.393622,6.8518476,0.020005822,-0.04046979,0.0067195124,0.3565853,0.10311296,0.5494745,10.03125,15.375001,3.05625,2,2.5040889,6.375676,6.8763742,-0.034361143,0.030695954,0.0019853106,0.35666946,0.10661708,0.55293924,6.3375,14.156251,3.0937502,1,2.248655,6.2841506,6.946364,-0.050854493,0.008093959,0.0018325944,0.35787776,0.1116688,0.5614911,4.70625,13.406251,2.7,8321
0,1.4763715,5.7816577,7.5726852,0.04657844,0.0030543238,0.025198173,0.32161754,0.11968343,0.5706447,9.7875,17.0625,1.3312501,4,1.6253247,5.9324055,7.436893,0.012217295,-0.008552107,0.0025961753,0.31614047,0.123588845,0.56623006,9.450001,16.6875,0.71250004,5,1.6755741,5.983253,7.429714,0.052839804,-0.10674862,0.009315688,0.31642506,0.12344756,0.56543875,9.6,16.66875,0.75,6,2.094318,6.19083,7.243074,0.067195125,-0.12492185,0.027947064,0.32462102,0.12025495,0.5617527,8.962501,16.2,1.1625,0456
2,2.3108685,6.419345,7.109076,0.28313583,-0.4375319,0.19196425,0.30665055,0.13739179,0.55045617,14.56875,18.28125,2.9625,1,2.094318,6.3738813,6.852446,-0.012217295,0.03940078,-0.004734202,0.33136454,0.12275996,0.5435806,12.69375,17.025002,3.2812502,9,1.9950159,6.270392,7.1425757,0.046731155,-0.10399973,0.0377209,0.33394334,0.120526075,0.5501135,8.1,14.625001,3.5062501,7,2.0015962,6.236294,7.164709,-0.009010255,0.06933315,-0.00763581,0.34011132,0.11682136,0.5528617,7.5375004,14.418751,3.3375,2197
6,1.9615164,6.172286,7.186843,0.082161315,-0.030695954,0.022601997,0.33413422,0.11814086,0.5490615,9.58125,16.1625,2.6437502,8,1.9686948,6.2638116,7.115058,-0.014355322,0.12079851,-0.02443459,0.33573818,0.11985778,0.5559898,9.1875,15.8625,2.7375002,0,1.5601203,6.2668023,7.2622166,0.021074835,-0.0036651888,0.011606431,0.32927507,0.13735059,0.56054735,10.6875,16.125,2.60625,3,1.7814565,6.3200426,7.1635127,0.15958843,-0.38591382,0.12079851,0.3378878,0.13015787,0.5589159,11.175,16.29375,2.71875,6803
1,1.8335004,6.1495543,7.211369,0.06108648,-0.061544627,0.021380268,0.3130071,0.13139477,0.56275445,11.981251,17.775002,1.1812501,5,1.8203398,6.1471615,7.2526455,0.0033597562,0.016951498,-0.020311253,0.32177916,0.1269504,0.5627422,11.175,17.1375,1.44375,0,1.6307086,6.096912,7.3776703,-0.02535089,0.04535671,-0.015424335,0.32405332,0.12687223,0.5622248,10.837501,16.9125,1.5937501,9,1.7928224,6.2285175,7.213164,-0.022296565,0.016340632,6.108648E-4,0.3298518,0.12787043,0.56284076,9.6,15.993751,2.1750002,1509
6,1.9686948,6.288936,7.094719,0.10399973,-0.20967934,0.05253437,0.3229664,0.13193084,0.5505579,14.868751,18.5625,2.7562501,4,2.2863421,6.424729,6.983453,-0.10461059,0.2603811,-0.018173227,0.33634102,0.12236198,0.5449565,13.9125,18.13125,2.86875,7,1.5643078,6.276374,7.2975106,-0.00320704,0.010690134,0.007177661,0.32304707,0.13793007,0.5567746,10.762501,16.40625,3.1875002,2,2.0835502,6.3571315,7.0809603,0.118202336,-0.20326525,0.07880156,0.34125412,0.12850612,0.5536037,10.9125,16.59375,3.1875002,6472
3,1.9070797,6.166304,7.2287173,0.1989892,-0.35353798,0.11270455,0.32146475,0.12343995,0.551584,13.33125,18.73125,2.2875001,0,1.6516458,6.0580287,7.195816,-0.19837834,0.36193737,-0.088269964,0.33810845,0.11172608,0.54442054,11.56875,17.775002,2.71875,4,1.46022,5.9844494,7.396215,-0.031154104,-0.0010690134,0.028099779,0.29966846,0.1354399,0.55634874,10.51875,17.23125,3.1125002,8,1.5780666,6.052047,7.3716884,0.029168794,0.018325943,0.01725693,0.30233788,0.13810614,0.5582369,10.03125,17.04375,3.2062502,3048
9,1.8107685,6.153742,7.1898336,0.054366965,-0.06551525,0.042302385,0.320749,0.1262292,0.5540508,12.150001,17.8875,2.3812501,7,1.4817554,6.0622163,7.5086775,-0.016187917,0.012370012,0.0013744457,0.31617764,0.13746949,0.5651997,11.400001,16.78125,2.79375,2,1.9136599,6.206982,7.2562346,0.0377209,-0.11194097,0.059712034,0.31575152,0.13750832,0.5652548,12.056251,16.987501,2.7375002,0,1.4321043,5.9958153,7.322037,-0.0632245,0.15195261,-0.10033454,0.32646793,0.1300457,0.56548774,11.043751,16.40625,2.625,9720
5,1.7820547,6.172884,7.353742,0.14691298,-0.22647811,0.07269291,0.31331798,0.12725288,0.55143213,13.575001,18.581251,2.1750002,3,2.4580271,6.4271216,6.884749,0.117438756,-0.18509203,0.052381653,0.3239862,0.12138951,0.5446832,12.525001,18.0375,2.53125,1,2.1720848,6.4492555,6.8482585,0.014966187,-0.0074830935,-0.015424335,0.32933939,0.12280181,0.5482552,11.625,17.625,2.71875,6,2.2002003,6.4277196,6.9224358,-0.021227552,-0.01970039,-6.108648E-4,0.35155013,0.11606632,0.5459229,7.6875005,15.39375,3.2812502,5316
8,1.2933207,5.992226,7.4309106,0.09010255,-0.13622284,0.027488915,0.33936244,0.12947582,0.56298155,10.125,17.1375,2.9250002,6,1.7587247,6.192625,7.1246295,0.08124501,-0.17730351,0.10231985,0.37326154,0.10947547,0.55831635,10.6125,17.475,3.1125002,0,1.6331015,6.3272214,7.1455665,0.020616686,0.007177661,-0.0067195124,0.34292743,0.13079043,0.55774397,10.40625,16.743752,3.4687502,2,2.1158533,6.4121666,7.012765,0.06933315,-0.15638138,0.06963859,0.35029542,0.12611029,0.55556804,10.387501,16.48125,3.6000001,8602
4,1.6941184,6.202196,7.268199,-0.01970039,0.006261364,-0.003817905,0.32296038,0.13445325,0.5628927,12.993751,17.831251,2.04375,9,1.9034904,6.1902323,7.186843,0.033597562,-0.10583232,0.028710645,0.33101967,0.12773664,0.56199455,12.150001,17.550001,2.0062501,3,2.1134605,6.309873,7.179664,0.083230324,-0.24572036,0.052687086,0.3386564,0.12203945,0.55775136,10.78125,17.04375,1.85625,8,2.0105693,6.278168,7.1072817,-0.041844238,0.088269964,-0.016187917,0.3504355,0.11252823,0.5511494,9.618751,16.5,2.025,4938
1,1.3166506,5.9910297,7.4446692,0.09407318,-0.1461494,0.052076224,0.3111464,0.13368176,0.55895483,13.012501,18.75,1.3125,7,1.6701902,6.1680984,7.3363943,-0.030390523,0.06291907,0.0033597562,0.31854695,0.1340967,0.55945617,12.168751,17.737501,1.85625,5,1.5002998,6.1567326,7.3549385,0.047647454,-0.05421425,-9.162972E-4,0.3223845,0.13466342,0.5605609,11.53125,17.118752,2.1000001,0,1.4327025,6.075975,7.4362946,0.008704823,0.046731155,-0.0027488915,0.31752667,0.13710494,0.56293714,11.38125,17.0625,2.2125,1750
2,1.4638093,5.979664,7.350751,0.1867719,-0.35231626,0.09666935,0.30565107,0.13393515,0.55576956,13.25625,18.75,1.35,4,1.8484555,6.2733827,7.0618176,-0.041691523,0.17333288,-0.013286309,0.33026293,0.11921643,0.54706514,12.150001,18.150002,1.5,6,1.9543378,6.3200426,7.0899334,0.05131264,-0.064904384,-0.013744458,0.32710004,0.12689027,0.54888034,11.625,17.831251,1.63125,1,2.1302104,6.3750777,6.9158554,-0.057726722,0.12599087,-0.009010255,0.34018287,0.1174154,0.5440356,10.837501,17.38125,1.8750001,2461
9,1.6893328,6.0753765,7.413563,0.06704241,-0.14202607,0.024281874,0.31981668,0.12787169,0.5619336,11.306251,18.768751,1.5937501,3,2.5998018,6.456434,6.83091,0.24113888,-0.33750278,0.08384119,0.3552649,0.10855247,0.5455527,10.25625,18.0375,1.3875,7,1.4333007,6.1178493,7.4536424,-0.12889247,0.26923865,-0.020922119,0.32241505,0.13702029,0.5734578,7.6875005,16.2,1.9125,5,1.2077773,6.0041904,7.517052,0.060475614,-0.13515383,0.028099779,0.3050518,0.14879395,0.5854021,10.106251,17.456251,1.35,9375
